Instruction Type,PE ID,Data Size,Execution Time,Cycle
WRITE_CACHE,PE0,8,3.6641,0
WRITE_CACHE,PE1,8,2.7194,0
WRITE_CACHE,PE2,8,0.5,0
WRITE_CACHE,PE3,8,0.5496,0
WRITE_CACHE,PE4,8,1.2226,0
WRITE_CACHE,PE5,8,2.0333,0
WRITE_CACHE,PE6,8,1.2955,0
WRITE_CACHE,PE7,8,4.1731,0
WRITE_MEM,0x0,32,13.4099,1
READ_MEM,0x1,8,5.0144,1
WRITE_MEM,0x2,32,12.2629,1
READ_MEM,0x3,24,7.2973,1
WRITE_MEM,0x4,32,13.0122,1
READ_MEM,0x5,40,7.7656,1
WRITE_MEM,0x6,32,13.5145,1
READ_MEM,0x7,40,11.6772,1
READ_MEM,0x0,16,4.2031,2
WRITE_MEM,0x1,32,10.9631,2
READ_MEM,0x2,16,3.9418,2
WRITE_MEM,0x3,32,13.1004,2
READ_MEM,0x4,32,10.3566,2
WRITE_MEM,0x5,32,11.7858,2
READ_MEM,0x6,40,10.3549,2
WRITE_MEM,0x7,32,12.6907,2
WRITE_CACHE,PE0,8,1.2549,3
WRITE_CACHE,PE1,8,3.2563,3
WRITE_CACHE,PE2,8,2.4993,3
WRITE_CACHE,PE3,8,0.5,3
WRITE_CACHE,PE4,8,0.5,3
WRITE_CACHE,PE5,8,0.5431,3
WRITE_CACHE,PE6,8,0.5,3
WRITE_CACHE,PE7,8,0.5,3
WRITE_MEM,0x0,64,20.0474,4
READ_MEM,0x1,24,7.5845,4
WRITE_MEM,0x2,64,19.8261,4
READ_MEM,0x3,32,7.0194,4
WRITE_MEM,0x4,64,20.3029,4
READ_MEM,0x5,40,11.8829,4
WRITE_MEM,0x6,64,22.6046,4
READ_MEM,0x7,40,11.8679,4
READ_MEM,0x0,32,5.9979,5
WRITE_MEM,0x1,64,18.8954,5
READ_MEM,0x2,32,6.0439,5
WRITE_MEM,0x3,64,22.5319,5
READ_MEM,0x4,40,9.4775,5
WRITE_MEM,0x5,64,19.2143,5
READ_MEM,0x6,40,8.8727,5
WRITE_MEM,0x7,64,21.4148,5
WRITE_CACHE,PE1,8,1.6034,6
BROADCAST_INVALIDATE,PE0,0,5.9134,6
BROADCAST_INVALIDATE,PE2,0,8.1325,6
BROADCAST_INVALIDATE,PE3,0,8.6995,6
BROADCAST_INVALIDATE,PE4,0,8.7187,6
BROADCAST_INVALIDATE,PE5,0,8.6666,6
BROADCAST_INVALIDATE,PE6,0,9.3463,6
BROADCAST_INVALIDATE,PE7,0,6.1731,6
WRITE_CACHE,PE0,8,3.4681,7
WRITE_CACHE,PE2,8,1.0848,7
WRITE_CACHE,PE3,8,0.5,7
WRITE_CACHE,PE4,8,0.5,7
WRITE_CACHE,PE5,8,2.2073,7
WRITE_CACHE,PE6,8,3.4542,7
WRITE_CACHE,PE7,8,4.3696,7
READ_MEM,0x1,48,11.3827,7
WRITE_MEM,0x4,32,10.8097,8
READ_MEM,0x5,0,0.8977,8
WRITE_MEM,0x6,32,14.6556,8
READ_MEM,0x7,8,4.7892,8
WRITE_MEM,0x0,32,14.4637,8
WRITE_MEM,0x1,32,11.7925,8
WRITE_MEM,0x2,32,13.5513,8
WRITE_MEM,0x3,32,14.5204,8
READ_MEM,0x3,0,5.1979,9
READ_MEM,0x4,0,1.7633,9
WRITE_MEM,0x5,32,14.6223,9
READ_MEM,0x6,8,4.1445,9
WRITE_MEM,0x7,32,13.456,9
READ_MEM,0x0,56,11.0798,9
READ_MEM,0x2,56,10.9877,9
BROADCAST_INVALIDATE,PE1,0,8.9939,9
